date,diario_existe,paginas,documentos
16/07/2002,sim,16,16
17/07/2002,sim,32,32
18/07/2002,sim,16,16
19/07/2002,sim,16,16
20/07/2002,sim,16,16
21/07/2002,nao,0,0
22/07/2002,nao,0,0
23/07/2002,sim,16,16
24/07/2002,sim,24,24
25/07/2002,sim,24,24
26/07/2002,sim,16,16
27/07/2002,sim,16,16
28/07/2002,nao,0,0
29/07/2002,nao,0,0
30/07/2002,sim,16,16
31/07/2002,sim,16,16
01/08/2002,sim,24,24
02/08/2002,sim,24,24
03/08/2002,sim,16,16
04/08/2002,nao,0,0
05/08/2002,nao,0,0
06/08/2002,sim,16,16
07/08/2002,sim,24,24
08/08/2002,sim,16,16
09/08/2002,sim,24,24
10/08/2002,sim,20,20
11/08/2002,nao,0,0
12/08/2002,nao,0,0
13/08/2002,sim,20,20
14/08/2002,sim,16,16
15/08/2002,sim,16,16
16/08/2002,sim,24,24
17/08/2002,sim,16,16
18/08/2002,nao,0,0
19/08/2002,nao,0,0
20/08/2002,sim,16,16
21/08/2002,sim,24,24
22/08/2002,sim,24,24
23/08/2002,sim,16,16
24/08/2002,sim,16,16
25/08/2002,nao,0,0
26/08/2002,nao,0,0
27/08/2002,sim,16,16
28/08/2002,sim,24,24
29/08/2002,sim,16,16
30/08/2002,sim,24,24
31/08/2002,sim,16,16
01/09/2002,nao,0,0
02/09/2002,nao,0,0
03/09/2002,sim,24,24
04/09/2002,sim,24,24
05/09/2002,sim,24,24
06/09/2002,sim,24,24
07/09/2002,sim,16,16
08/09/2002,nao,0,0
09/09/2002,nao,0,0
10/09/2002,sim,16,16
28/04/2020,sim,22,22
29/04/2020,sim,18,18
30/04/2020,sim,50,50
01/05/2020,sim,90,90
02/05/2020,nao,0,0
01/01/2020,nao,0,0
02/01/2020,nao,0,0
03/01/2020,nao,0,0
04/01/2020,nao,0,0
05/01/2020,nao,0,0
06/01/2020,nao,0,0
07/01/2020,sim,74,74
08/01/2020,sim,46,46
09/01/2020,sim,20,20
10/01/2020,sim,28,28
11/01/2020,sim,22,22
12/01/2020,nao,0,0
13/01/2020,nao,0,0
14/01/2020,sim,30,30
15/01/2020,sim,18,18
16/01/2020,sim,18,18
17/01/2020,sim,16,16
18/01/2020,sim,18,18
19/01/2020,nao,0,0
20/01/2020,nao,0,0
21/01/2020,sim,50,50
22/01/2020,sim,22,22
23/01/2020,sim,22,22
24/01/2020,sim,18,18
25/01/2020,sim,10,10
26/01/2020,nao,0,0
27/01/2020,nao,0,0
28/01/2020,sim,18,18
29/01/2020,sim,34,34
30/01/2020,sim,30,30
31/01/2020,sim,26,26
01/02/2020,sim,24,24
02/02/2020,nao,0,0
03/02/2020,nao,0,0
04/02/2020,sim,120,120
